listing_id,title,sku,grade,units,model,end_time,image_url,manifest_models,manifest_capacities,manifest_colors,manifest_part_numbers
232054,Samsung Cell Phones - Galaxy S23+ 5G - 40 Units - Grade C(T) - CT0079897A,CT0079897A,C(T),40,,2025-06-19T19:01:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23plus5g_417.jpg,"SAM GS23P, SAM GS23P 512",,"GRN, CRM, BLK, LVD","J670D, A668D, A667D, J667D, S671D, E669D, A671D, A672D, E671D, J674D, J671D, E670D, J668D, A674D"
231790,Samsung Cell Phones - Galaxy S23 FE - 50 Units - Grade C(T) - CT0079886A,CT0079886A,C(T),50,,2025-06-19T19:02:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23fe_235.jpg,SAM S23,,GRY,"J859D, A859D, S859D, E859D"
231800,Samsung Cell Phones - Galaxy S23 5G - 80 Units - Grade C(T) - CT0079852A,CT0079852A,C(T),80,,2025-06-19T19:03:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys235g_507.jpg,"SAM GS23 128, SAM GS23",,"GRN, CRM, BLK, LVD","E662D, S661D, J662D, E661D, A661D, J660D, J661D, A660D, E659D, J659D, S662D, A659D, A662D, S666D"
232047,Samsung Cell Phones - Galaxy S23 5G - 50 Units - Grade B+(T) - CT0079827A,CT0079827A,B+(T),50,,2025-06-19T19:04:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys235g_509.jpg,"SAM GS23 128, SAM GS23",,"GRN, BLK, LVD","A659D, J661D, A662D, A661D"
231830,Samsung Cell Phones - Galaxy S23 5G - 33 Units - Grade B+(T) - CT0079912A,CT0079912A,B+(T),33,,2025-06-19T19:05:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys235g_508.jpg,"SAM GS23 128, SAM GS23",,BLK,"A662D, U662D, A666D"
231824,Samsung Cell Phones - Galaxy S22 Ultra 5G - 180 Units - Grade C(T) - CT0079775A,CT0079775A,C(T),180,,2025-06-19T19:06:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys22ultra5g_1266.jpg,SAM GS22U 128,,"GRN, BUR, BLK, WHT","J298D, S298D, J297D, A298D, E298D, J302D, J305D"
232005,Samsung Cell Phones - Galaxy S22 Ultra 5G - 106 Units - Grade C(T) - CT0079840A,CT0079840A,C(T),106,,2025-06-19T19:07:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys22ultra5g_1268.jpg,"SAM GS22U, SAM GS22U 256, SAM GS22U 512",,"GRN, BUR, BLK, WHT","J296D, E297D, A300D, J307D, A297D, J300D, S303D, J306D, U303D, E300D, J303D, S297D, S299D, J304D, S305D, S296D, S301D, A303D, E303D, J299D, J301D, S300D"
231868,Samsung Cell Phones - Galaxy S22 5G - 68 Units - Grade C(T) - CT0079811A,CT0079811A,C(T),68,,2025-06-19T19:08:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys225g_910.jpg,"SAM GS22 128, SAM GS22",,"GRN, PUR, BLK, PNK, WHT","S280D, J279D, J280D, E284D, J464D, S281D, J281D, A280D, A464D, E280D, J284D, A284D, A281D"
231992,Samsung Cell Phones - Galaxy S22 5G - 61 Units - Grade B+(T) - CT0079818A,CT0079818A,B+(T),61,,2025-06-19T19:09:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys225g_911.jpg,"SAM GS22 128, SAM GS22",,"GRN, PUR, BLK, PNK","S280D, J280D, U280D, J464D, A280D, E280D, J284D, A284D, A281D"
231756,Samsung Cell Phones - Galaxy S22 5G - 59 Units - Grade C(T) - CT0079870A,CT0079870A,C(T),59,,2025-06-19T19:10:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys225g_909.jpg,"SAM GS22, SAM GS22 256",,"GRN, BLK, WHT, PNK","E277D, J280D, E283D, J282D, S284D, J283D, S283D, J277D, A283D, A280D, J281D, E280D, A281D"
232053,Samsung Cell Phones - Galaxy S22 5G - 17 Units - Grade A+(T) - CT0079992A,CT0079992A,A+(T),17,,2025-06-19T19:11:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys225g_912.jpg,"SAM GS22, SAM GS22 256",,BLK,"S280D, J280D, J283D, S283D, A280D"
231974,Samsung Cell Phones - Galaxy S21 Ultra 5G - 26 Units - Grade C(T) - CT0079937A,CT0079937A,C(T),26,,2025-06-19T19:12:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys21ultra_1264.jpg,"SAM GS21U BBY, SAM GS21U",,"SLV, BLK, BLU","S927C, J922C, J065D, J927C, J928C"
